|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	19	3	2024-02-29-seq3x5pgi_49u_good_Base	2.258	0.1591	0.6068	0.4522	60.41
0	19	4	2024-02-29-seq3x5pgi_49u_good_Base	2.531	0.1981	0.7344	0.5417	62.49
0	19	5	2024-02-29-seq3x5pgi_49u_good_Base	2.633	0.2432	0.7995	0.5619	61.67
0	19	6	2024-02-29-seq3x5pgi_49u_good_Base	2.664	0.2863	0.8151	0.5342	63.11
0	19	7	2024-02-29-seq3x5pgi_49u_good_Base	2.828	0.3322	0.9115	0.5851	62.76
0	19	8	2024-02-29-seq3x5pgi_49u_good_Base	2.914	0.3789	0.9557	0.5827	61.91
0	19	9	2024-02-29-seq3x5pgi_49u_good_Base	2.945	0.4248	0.9661	0.5469	59.57
0	19	10	2024-02-29-seq3x5pgi_49u_good_Base	2.977	0.4676	0.9818	0.5193	61.13
0	20	0	2024-02-29-seq3x5pgi_49u_good_Base	0.01562	0.1	0.002604	-0.0974	0
0	20	1	2024-02-29-seq3x5pgi_49u_good_Base	0.8125	0.1026	0.1432	0.04159	61.38
0	20	2	2024-02-29-seq3x5pgi_49u_good_Base	2.578	0.1354	0.8047	0.6761	62.22
0	20	3	2024-02-29-seq3x5pgi_49u_good_Base	2.945	0.197	0.9714	0.7821	63.46
0	20	4	2024-02-29-seq3x5pgi_49u_good_Base	3	0.2585	1	0.749	61.88
0	21	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9297	0.1022	0.1094	0.007676	0
0	21	1	2024-02-29-seq3x5pgi_49u_good_Base	0.7109	0.1052	0.1094	0.004478	62.25
0	21	2	2024-02-29-seq3x5pgi_49u_good_Base	0.6328	0.1056	0.09115	-0.01441	63.43
0	21	3	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.108	0.1276	0.01999	63.25
0	21	4	2024-02-29-seq3x5pgi_49u_good_Base	1.281	0.1144	0.2448	0.1318	62.38
0	21	5	2024-02-29-seq3x5pgi_49u_good_Base	1.648	0.1287	0.3203	0.1936	64.19
0	21	6	2024-02-29-seq3x5pgi_49u_good_Base	2.391	0.1554	0.6693	0.5191	62.8
0	21	7	2024-02-29-seq3x5pgi_49u_good_Base	2.977	0.2127	0.987	0.7821	64.82
0	22	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9297	0.1016	0.09375	-0.007425	0
0	22	1	2024-02-29-seq3x5pgi_49u_good_Base	1.031	0.1037	0.125	0.02162	62.87
0	22	2	2024-02-29-seq3x5pgi_49u_good_Base	1.422	0.1117	0.2708	0.1608	62.88
0	22	3	2024-02-29-seq3x5pgi_49u_good_Base	2.195	0.1369	0.5938	0.4614	62.16
0	22	4	2024-02-29-seq3x5pgi_49u_good_Base	2.797	0.187	0.8854	0.7055	63.95
0	22	5	2024-02-29-seq3x5pgi_49u_good_Base	2.922	0.2455	0.9688	0.7306	63.84
